resource,endpoint,predicate,count,provider
http://id.loc.gov/authorities,aliada.scanbit.net:8891,skos:closeMatch,11100,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:hasBroaderExternalAuthority,329,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:isMemberOfMADSScheme,664,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:isMemberOfMADSScheme,664,LOC
http://id.loc.gov/authorities,data.archiveshub.ac.uk,owl:sameAs,104,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:isMemberOfMADSCollection,740,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:hasBroaderAuthority,816,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:adminMetadata,581,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:isMemberOfMADSScheme,968,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,rdfs:label,3,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:hasExactExternalAuthority,611,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:hasTopMemberOfMADSScheme,60,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,owl:sameAs,534,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:hasMADSCollectionMember,2204,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:hasExactExternalAuthority,611,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:editorialNote,515,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:editorialNote,515,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:isMemberOfMADSScheme,664,LOC
http://id.loc.gov/ontologies/bibframe,data.hnm.hu,rdf:type,539832,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:hasExactExternalAuthority,379,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,owl:sameAs,332,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasNarrowerAuthority,156,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:hasVariant,1074,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:hasMADSCollectionMember,1030,LOC
http://id.loc.gov/vocabulary/languages,bnb.data.bl.uk,rdfs:label,50,LOC
http://id.loc.gov/vocabulary/iso639-1,resource.geolba.ac.at,adms:metadataLanguage,1,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:hasBroaderExternalAuthority,329,LOC
http://id.loc.gov/authorities,202.45.139.84:10035,skos:narrowMatch,6,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,rdf:type,2485,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasRelatedAuthority,197,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,rdf:type,2742,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:useFor,140,LOC
http://id.loc.gov/vocabulary/iso639-2,skos.um.es,dcterms:language,4,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasExactExternalAuthority,611,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:hasVariant,890,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:hasNarrowerAuthority,156,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:hasTopMemberOfMADSScheme,664,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,rdfs:comment,3,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:authoritativeLabel,538,LOC
